,Activity
356,STANDING
4482,WALKING
10012,LAYING
4386,STANDING
3751,WALKING_DOWNSTAIRS
8432,SITTING
3399,WALKING_DOWNSTAIRS
1932,SITTING
6822,STANDING
6205,WALKING_DOWNSTAIRS
59,LAYING
9617,SITTING
8548,WALKING_UPSTAIRS
8834,WALKING_DOWNSTAIRS
5035,WALKING_DOWNSTAIRS
8187,LAYING
5410,WALKING
10070,WALKING_DOWNSTAIRS
2949,LAYING
1936,SITTING
1679,LAYING
2728,STANDING
4256,SITTING
10095,WALKING_UPSTAIRS
2414,SITTING
8267,STANDING
993,STANDING
525,STANDING
2855,WALKING_UPSTAIRS
7443,WALKING
1878,WALKING_DOWNSTAIRS
6201,WALKING_DOWNSTAIRS
10165,SITTING
7426,LAYING
7157,WALKING_UPSTAIRS
2740,SITTING
10150,SITTING
2669,WALKING_DOWNSTAIRS
305,WALKING_UPSTAIRS
8773,LAYING
8289,SITTING
1311,WALKING_UPSTAIRS
6227,WALKING_UPSTAIRS
3607,STANDING
6273,STANDING
5001,WALKING
1361,SITTING
419,LAYING
2308,WALKING
860,STANDING
6605,WALKING_UPSTAIRS
368,STANDING
6794,WALKING_UPSTAIRS
5961,LAYING
1021,SITTING
3076,STANDING
3457,STANDING
10263,WALKING_UPSTAIRS
4342,WALKING_DOWNSTAIRS
3602,WALKING_DOWNSTAIRS
2572,SITTING
4914,STANDING
1191,SITTING
7780,WALKING_DOWNSTAIRS
8621,LAYING
4398,STANDING
3496,LAYING
2934,SITTING
5892,STANDING
9194,WALKING_UPSTAIRS
5540,SITTING
9625,SITTING
8028,LAYING
10214,WALKING
895,SITTING
5681,STANDING
2437,SITTING
6598,WALKING_DOWNSTAIRS
2977,WALKING
3711,LAYING
8040,LAYING
3612,STANDING
4676,WALKING_UPSTAIRS
6778,WALKING_UPSTAIRS
389,SITTING
9584,STANDING
8539,WALKING_UPSTAIRS
5098,STANDING
8004,SITTING
720,SITTING
1700,WALKING
2784,LAYING
349,STANDING
9905,WALKING_UPSTAIRS
1378,LAYING
9397,STANDING
8384,WALKING_UPSTAIRS
7502,WALKING_UPSTAIRS
9932,STANDING
7666,STANDING
3119,SITTING
6602,WALKING_UPSTAIRS
878,SITTING
2101,SITTING
660,WALKING_DOWNSTAIRS
10094,WALKING_UPSTAIRS
6956,WALKING_UPSTAIRS
5938,SITTING
4537,STANDING
931,WALKING
9486,WALKING
7164,WALKING_UPSTAIRS
2255,SITTING
2381,WALKING_UPSTAIRS
4025,SITTING
1362,SITTING
5926,SITTING
3818,STANDING
7515,STANDING
9626,SITTING
8419,STANDING
4742,SITTING
4324,WALKING
8815,WALKING
6747,WALKING
9592,STANDING
6354,LAYING
6037,WALKING_UPSTAIRS
8254,WALKING_DOWNSTAIRS
5736,SITTING
7013,SITTING
1538,LAYING
5947,LAYING
9573,STANDING
6066,STANDING
1497,STANDING
1154,WALKING_UPSTAIRS
7397,SITTING
4073,LAYING
7158,WALKING_UPSTAIRS
8802,LAYING
1506,SITTING
4836,WALKING_DOWNSTAIRS
532,STANDING
2304,WALKING
2069,STANDING
7481,WALKING_DOWNSTAIRS
2464,LAYING
6038,WALKING_UPSTAIRS
8777,LAYING
10201,LAYING
973,WALKING_UPSTAIRS
5683,STANDING
3775,WALKING_UPSTAIRS
6232,WALKING_UPSTAIRS
4176,STANDING
3984,STANDING
5706,STANDING
6216,WALKING_DOWNSTAIRS
9428,SITTING
8165,LAYING
9951,SITTING
5778,LAYING
2089,SITTING
4116,WALKING
10174,SITTING
747,LAYING
5717,SITTING
2086,SITTING
216,LAYING
5879,STANDING
499,WALKING_UPSTAIRS
10154,SITTING
5843,WALKING_UPSTAIRS
994,STANDING
9681,WALKING
5343,LAYING
5698,STANDING
6098,SITTING
5563,LAYING
6887,LAYING
9292,LAYING
7018,SITTING
5703,STANDING
7958,WALKING_UPSTAIRS
6748,WALKING
21,STANDING
9012,WALKING_DOWNSTAIRS
8801,LAYING
4921,SITTING
2763,LAYING
6318,SITTING
5358,LAYING
4112,WALKING
5739,SITTING
5244,WALKING_UPSTAIRS
3153,LAYING
1690,LAYING
3922,WALKING
4124,WALKING
9244,SITTING
8162,SITTING
9093,SITTING
7646,WALKING_UPSTAIRS
1748,WALKING_UPSTAIRS
6820,STANDING
209,SITTING
7939,WALKING_DOWNSTAIRS
4739,SITTING
4285,LAYING
637,WALKING_DOWNSTAIRS
893,SITTING
2229,STANDING
3159,LAYING
6978,STANDING
3804,STANDING
375,STANDING
10038,WALKING
7171,STANDING
9105,LAYING
6844,SITTING
2107,SITTING
168,WALKING_UPSTAIRS
5271,STANDING
6943,WALKING_DOWNSTAIRS
3759,WALKING_DOWNSTAIRS
4216,STANDING
6330,LAYING
6280,STANDING
8275,STANDING
2575,SITTING
791,WALKING
6303,SITTING
7988,STANDING
4248,SITTING
5614,WALKING
241,LAYING
402,SITTING
5428,WALKING_DOWNSTAIRS
2083,STANDING
732,SITTING
4735,SITTING
4024,SITTING
8945,LAYING
46,SITTING
2234,STANDING
3929,WALKING_DOWNSTAIRS
756,LAYING
3405,WALKING_UPSTAIRS
6028,WALKING_UPSTAIRS
8348,WALKING
7959,WALKING_UPSTAIRS
1704,WALKING
6985,STANDING
3311,SITTING
8917,SITTING
9374,WALKING_DOWNSTAIRS
7294,WALKING_DOWNSTAIRS
8676,WALKING_DOWNSTAIRS
6626,STANDING
5466,WALKING_UPSTAIRS
3632,STANDING
362,STANDING
4445,LAYING
1851,WALKING
9067,STANDING
7784,WALKING_DOWNSTAIRS
4355,WALKING_UPSTAIRS
2223,STANDING
2939,LAYING
1820,LAYING
5624,WALKING_DOWNSTAIRS
3713,LAYING
1708,WALKING
9000,WALKING_DOWNSTAIRS
4655,WALKING_DOWNSTAIRS
10166,SITTING
5756,LAYING
8115,STANDING
10067,WALKING_DOWNSTAIRS
178,STANDING
5927,SITTING
4257,SITTING
7322,WALKING_UPSTAIRS
230,SITTING
